word1,word2,pubtitle,authors,n
ap,pointment,The Sun (1837-),NA,10
april,1,The Sun (1837-),NA,10
assignment,monday,The Sun (1837-),NA,10
athletic,club,The Sun (1837-),NA,10
ave,nue,The Sun (1837-),NA,10
chief,engineer,The Sun (1837-),NA,10
college,park,The Sun (1837-),NA,10
colored,voters,Afro-American (1893-),NA,10
conscientious,objectors,The Sun (1837-),NA,10
correctional,institutions,The Sun (1837-),NA,10
county,commissioners,The Sun (1837-),NA,10
depart,ment,Afro-American (1893-),NA,10
dicker,son,The Sun (1837-),NA,10
district,police,The Sun (1837-),NA,10
elected,president,The Sun (1837-),NA,10
em,ployed,The Sun (1837-),NA,10
executive,committee,The Sun (1837-),NA,10
feeble,minded,Afro-American (1893-),NA,10
governor,o'conor's,The Sun (1837-),NA,10
grand,juries,The Sun (1837-),NA,10
hampton,magruder,The Sun (1837-),NA,10
ice,cream,The Sun (1837-),NA,10
im,provements,The Sun (1837-),NA,10
industrial,school,Afro-American (1893-),NA,10
janney,secretary,The Sun (1837-),NA,10
johns,hopkins,Afro-American (1893-),NA,10
judge,dicker,The Sun (1837-),NA,10
judge,thomas,Afro-American (1893-),NA,10
june,1,The Sun (1837-),NA,10
juve,nile,The Sun (1837-),NA,10
land,training,The Sun (1837-),NA,10
madison,avenue,The Sun (1837-),NA,10
maryland,training,Afro-American (1893-),NA,10
mcculloh,street,Afro-American (1893-),NA,10
meet,ing,Afro-American (1893-),NA,10
mem,ber,Afro-American (1893-),NA,10
ment,commissioner,The Sun (1837-),NA,10
mental,defectives,The Sun (1837-),NA,10
miss,amanda,The Sun (1837-),Special from a Staff Correspondent,10
miss,amanda,The Sun (1837-),NA,10
national,bank,The Sun (1837-),NA,10
negro,training,The Sun (1837-),NA,10
north,avenue,The Sun (1837-),NA,10
october,1,The Sun (1837-),NA,10
penal,system,The Sun (1837-),NA,10
preparatory,school,The Sun (1837-),Special Dispatch to the Baltimore Sun,10
pro,posed,The Sun (1837-),NA,10
real,hell,Afro-American (1893-),NA,10
situa,tion,The Sun (1837-),NA,10
southern,maryland,The Sun (1837-),"Watson, Mark S",10
su,perintendent,Afro-American (1893-),NA,10
superin,tendent,Afro-American (1893-),NA,10
time,10,The Sun (1837-),NA,10
treas,urer,The Sun (1837-),NA,10
week's,news,The Sun (1837-),NA,10
weeks,ago,Afro-American (1893-),NA,10
woman's,club,The Sun (1837-),NA,10
yard,dash,The Sun (1837-),Special Dispatch to the Baltimore Sun,10
absolute,divorce,The Sun (1837-),NA,9
ad,ministration,The Sun (1837-),NA,9
ame,church,Afro-American (1893-),NA,9
appoint,ment,The Sun (1837-),NA,9
atlantic,city,Afro-American (1893-),NA,9
blandford,president,The Sun (1837-),NA,9
boys,committed,The Sun (1837-),NA,9
bragg,jr,The Sun (1837-),NA,9
brown,skin,Afro-American (1893-),NA,9
busi,ness,The Sun (1837-),NA,9
calvert,street,The Sun (1837-),NA,9
central,district,The Sun (1837-),NA,9
cheltenham,board,Afro-American (1893-),NA,9
cheltenham,boys,Afro-American (1893-),NA,9
cheltenham,house,The Sun (1837-),NA,9
cheltenham,institution,The Sun (1837-),NA,9
city,hospitals,The Sun (1837-),NA,9
colored,persons,Afro-American (1893-),NA,9
colored,race,Afro-American (1893-),NA,9
column,4,The Sun (1837-),NA,9
construc,tion,The Sun (1837-),NA,9
de,clared,The Sun (1837-),NA,9
died,yesterday,The Sun (1837-),NA,9
district,court,The Sun (1837-),NA,9
dr,henry,The Sun (1837-),NA,9
druid,hill,The Sun (1837-),NA,9
dur,ing,The Sun (1837-),NA,9
family,buildings,The Sun (1837-),NA,9
frank,woods,The Sun (1837-),NA,9
george,washington,The Sun (1837-),Special Dispatch to the Baltimore Sun,9
governor,herbert,Afro-American (1893-),NA,9
grand,national,The Sun (1837-),NA,9
habeas,corpus,Afro-American (1893-),NA,9
im,provement,The Sun (1837-),NA,9
improve,ment,The Sun (1837-),NA,9
institution's,board,The Sun (1837-),NA,9
january,1,The Sun (1837-),NA,9
judge,wright,The Sun (1837-),NA,9
june,20,The Sun (1837-),NA,9
jury,committee,The Sun (1837-),NA,9
lasch,letters,The Sun (1837-),NA,9
liquor,law,The Sun (1837-),NA,9
march,18,The Sun (1837-),NA,9
maryland,commission,The Sun (1837-),NA,9
mayor,jackson,The Sun (1837-),NA,9
md,sept,The Sun (1837-),NA,9
mem,ber,The Sun (1837-),NA,9
mem,bers,Afro-American (1893-),NA,9
mentally,defective,The Sun (1837-),NA,9
military,department,The Sun (1837-),NA,9
minded,negro,The Sun (1837-),NA,9
na,tional,The Sun (1837-),NA,9
negro,postponed,The Sun (1837-),NA,9
ored,boys,Afro-American (1893-),NA,9
page,22,The Sun (1837-),NA,9
paul,street,The Sun (1837-),NA,9
pratt,library,The Sun (1837-),NA,9
protestant,episcopal,The Sun (1837-),NA,9
pub,lic,The Sun (1837-),NA,9
public,schools,Afro-American (1893-),NA,9
railway,company,The Sun (1837-),NA,9
ref,ormation,The Sun (1837-),NA,9
reforma,tion,Afro-American (1893-),NA,9
reforma,tory,Afro-American (1893-),NA,9
rev,dr,Afro-American (1893-),NA,9
rev,george,Afro-American (1893-),NA,9
saratoga,street,Afro-American (1893-),NA,9
selective,service,The Sun (1837-),NA,9
sixth,district,The Sun (1837-),NA,9
social,agencies,The Sun (1837-),NA,9
social,worker,The Sun (1837-),NA,9
st,mary's,Afro-American (1893-),NA,9
st,paul's,The Sun (1837-),NA,9
st,peter,Afro-American (1893-),NA,9
station,house,The Sun (1837-),NA,9
sun,annapolis,The Sun (1837-),NA,9
testamentary,granted,The Sun (1837-),NA,9
traffic,court,The Sun (1837-),NA,9
training,program,The Sun (1837-),NA,9
washington,d.c,Afro-American (1893-),NA,9
wed,nesday,Afro-American (1893-),NA,9
week's,afro,Afro-American (1893-),NA,9
white,guard,Afro-American (1893-),NA,9
york,road,The Sun (1837-),NA,9
0,0,The Sun (1837-),NA,8
1,won,The Sun (1837-),NA,8
18,months,The Sun (1837-),NA,8
3,3,The Sun (1837-),Special Dispatch to the Baltimore Sun,8
4,4,The Sun (1837-),NA,8
6,months,The Sun (1837-),NA,8
administration,accounts,The Sun (1837-),NA,8
al,leged,The Sun (1837-),NA,8
alleged,attack,Afro-American (1893-),NA,8
avenue,willow,Afro-American (1893-),NA,8
baker,estate,The Sun (1837-),NA,8
baltimore,city,The Sun (1837-),Special Dispatch to the Baltimore Sun,8
baltimore,miss,The Sun (1837-),Special Dispatch to the Baltimore Sun,8
basket,ball,The Sun (1837-),NA,8
biddle,street,Afro-American (1893-),NA,8
bond,issue,The Sun (1837-),"O'Donnell, Thomas J",8
boy,scout,Afro-American (1893-),NA,8
brown,fox,Afro-American (1893-),NA,8
capital,stock,The Sun (1837-),NA,8
cheltenham,baltimore,Afro-American (1893-),NA,8
cheltenham,site,The Sun (1837-),NA,8
chil,dren,Afro-American (1893-),NA,8
children's,aid,The Sun (1837-),NA,8
circuit,court,Afro-American (1893-),NA,8
city,limits,The Sun (1837-),NA,8
classified,service,The Sun (1837-),NA,8
con,ditions,The Sun (1837-),NA,8
con,sideration,The Sun (1837-),NA,8
cor,rection,The Sun (1837-),NA,8
cottage,masters,The Sun (1837-),NA,8
coun,ty,The Sun (1837-),NA,8
court,chief,The Sun (1837-),NA,8
crimi,nal,The Sun (1837-),NA,8
delinquent,children,The Sun (1837-),NA,8
democratic,party,Afro-American (1893-),NA,8
den,nis,The Sun (1837-),NA,8
divorces,granted,The Sun (1837-),NA,8
dr,frank,The Sun (1837-),NA,8
dr,harry,Afro-American (1893-),NA,8
dr,james,The Sun (1837-),NA,8
dr,preston,The Sun (1837-),"O'Donnell, Louis J",8
dr,william,Afro-American (1893-),NA,8
educational,program,The Sun (1837-),NA,8
eighteen,months,The Sun (1837-),NA,8
eutaw,street,Afro-American (1893-),NA,8
false,alarms,The Sun (1837-),NA,8
follow,ing,The Sun (1837-),NA,8
form,school,Afro-American (1893-),NA,8
fort,mchenry,The Sun (1837-),NA,8
fox,jumps,Afro-American (1893-),NA,8
fri,day,Afro-American (1893-),NA,8
friday,night,The Sun (1837-),NA,8
george,county,Afro-American (1893-),NA,8
george's,county,The Sun (1837-),Reported for the Baltimore Sun,8
